"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Max Strus","Cle","F","28","67","32.1","17.4","13.5","93","0.806","236","0.564","465","0.346","0.534","0.555","12.3","4.7","3.9","0.9","0.4","1.6","17","16.2","20.9","7.6","111.2","108.6"
"","Cam Whitmore","Hou","F","19.7","43","18.3","27.6","9.1","105","0.676","227","0.542","194","0.361","0.542","0.564","12.3","3.8","0.5","0.7","0.3","1","16.1","12.7","16.6","6.2","108.2","109.2"
"","Aaron Nesmith","Ind","G-F","24.5","69","27.8","16.1","9.1","127","0.764","289","0.571","327","0.425","0.606","0.628","12.2","3.8","1.5","0.9","0.7","0.9","16","13.8","17.6","5.9","121.5","110.7"
"","Ayo Dosunmu","Chi","G","24.2","76","29.1","17.2","12.5","105","0.81","424","0.568","295","0.403","0.583","0.604","12.2","2.8","3.2","0.9","0.5","1.4","15","15.3","18.2","6.6","118.3","113.6"
"","P.J. Washington","Dal","F","25.6","26","33","16.2","8.6","48","0.646","122","0.557","154","0.325","0.518","0.533","12.2","6.3","1.5","1.2","1","1","18.5","13.7","19.9","5.9","107.8","111.6"
"","Bruce Brown","Ind","G","27.6","33","29.7","16.7","11.5","82","0.817","213","0.545","101","0.327","0.527","0.568","12.1","4.7","3","1.1","0.2","1.2","16.7","15.1","19.8","7.5","115.1","114"
"","Harrison Barnes","Sac","F","31.9","78","28.8","15.6","7.4","172","0.797","324","0.571","367","0.392","0.58","0.612","12","2.9","1.1","0.6","0.1","0.7","14.9","13.2","16.1","4.7","121.5","117.1"
"","Tyus Jones","Was","G","27.9","66","29.3","16.3","9","40","0.8","410","0.537","256","0.414","0.569","0.578","12","2.7","7.3","1.1","0.3","1","14.7","19.3","22","8.4","126.2","122.5"
"","Buddy Hield","Ind","G","31.3","52","25.7","18.6","10.7","33","0.848","160","0.575","357","0.384","0.575","0.586","12","3.2","2.7","0.8","0.6","1.2","15.2","14.7","17.9","7.3","114.1","115.7"
"","Buddy Hield","Phi","G","31.3","29","26.3","19.7","11.2","21","0.952","113","0.504","188","0.378","0.543","0.559","12","3","3.2","0.9","0.4","1.3","14.9","15.1","18.1","7.4","113","111.5"
"","Jaylen Nowell","Det","G","24.7","2","19.6","21.5","5.5","4","0.5","13","0.615","4","0.5","0.647","0.64","12","3.5","1","0.5","1","0.5","15.5","13","16.5","7.1","125.8","118.2"
"","Nic Claxton","Bro","C","25","68","29.8","15.6","13.3","188","0.559","556","0.633","5","0.2","0.63","0.631","11.9","9.9","2","0.7","2","1.3","21.9","14","23.9","8.3","124.2","108"
"","Jaime Jaquez Jr.","Mia","G","23.1","71","28.3","18.7","13.8","164","0.805","473","0.56","191","0.314","0.535","0.572","11.9","3.8","2.5","1","0.2","1.5","15.7","14.4","18.2","6.8","111.6","107.5"
"","Vasilije Micic","Cha","G","30.2","26","28.5","20.4","19.4","54","0.833","158","0.544","99","0.303","0.51","0.547","11.8","2.2","6.5","0.8","0.1","2.4","14","18.3","20.6","7.8","109.8","119.6"
